0,0,8
1,2,9
2,4,5
3,6,9
4,8,2
5,10,5
6,12,5
7,14,8
8,16,5
9,18,8
10,20,3
11,22,7
12,24,5
13,26,5
14,28,1
15,30,6
16,32,5
17,34,2
18,36,9
19,38,8
20,40,4
21,42,5
22,44,5
23,46,4
24,48,4
25,50,10
26,52,9
27,54,1
28,56,10
29,58,8
30,60,7
31,62,6
32,64,1
33,66,8
34,68,6
35,70,7
36,72,6
37,74,9
38,76,6
39,78,9
40,80,1
41,82,4
42,84,10
43,86,10
44,88,4
45,90,7
46,92,6
47,94,1
48,96,6
49,98,9
50,100,6
51,102,9
52,104,6
53,106,9
54,108,6
55,110,9
56,112,9
57,114,4
58,116,6
59,118,10
60,120,4
61,122,1
62,124,5
63,126,6
64,128,8
65,130,5
66,132,5
67,134,7
68,136,1
69,138,9
70,140,10
71,142,3
72,144,8
73,146,5
74,148,10
75,150,10
76,152,10
77,154,1
78,156,3
79,158,4
80,160,8
81,162,3
82,164,7
83,166,7
84,168,7
85,170,1
86,172,8
87,174,8
88,176,2
89,178,2
90,180,8
91,182,9
92,184,4
93,186,9
94,188,3
95,190,7
96,192,9
97,194,8
98,196,10
99,198,6
